gene_symbol,Ift74
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,k8572g849496s76
gene_accession_id,MGI:1914944
parameter_id,HMGULA_CBC_003_001
pvalue,0.1831478
parameter_name,Chloride
