gene_symbol,Maco1
pvalue,0.09718335
parameter_id,IMPC_IPG_011_001
gene_accession_id,MGI:1913396
analysis_id,az6325gi68m4ert
parameter_name,Initial response to glucose challenge
mouse_life_stage,Early adult
mouse_strain,C57BL
