parameter_name,Lens Opacity
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
analysis_id,4z9bdz3f52r8741
pvalue,0.5852291
mouse_strain,C57BL
gene_symbol,Golm2
