parameter_name,Mean-cell-volume
mouse_strain,C57BL
gene_accession_id,MGI:1917810
pvalue,0.3026805
gene_symbol,Wars2
mouse_life_stage,E9.5
analysis_id,dolj9t48254kp65
parameter_id,M-G-P_016_001_005
