parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:1914071
pvalue,0.9461637
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
gene_symbol,Bcs1l
mouse_strain,C57BL
analysis_id,918013zfn3715m6
