analysis_id,j9559p9owkiyk85
gene_symbol,Dnajc8
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
pvalue,0.9972263
parameter_name,Forelimb grip strength normalised against body weight
parameter_id,HRWLLA_GRS_010_001
mouse_strain,C57BL
