analysis_id,zgew483sjiw60qi
mouse_life_stage,Early adult
gene_symbol,Ppm1j
pvalue,0.1729607
parameter_id,JAXLA_OFD_017_001
mouse_strain,C57BL
parameter_name,Center average speed
gene_accession_id,MGI:1919137
