analysis_id,tyrqhk27ok0tk67
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:1915524
mouse_strain,C57BL
gene_symbol,Toporsl
pvalue,0.8864214
