gene_symbol,Ap5s1
mouse_life_stage,Early adult
parameter_name,Number of rears - total
mouse_strain,C57BL
analysis_id,1zq19uk32x44982
pvalue,0.314292
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:1916846
