analysis_id,8a73md69450d4dx
parameter_id,IMPC_FEA_003_001
pvalue,0.2834627
mouse_strain,C57BL
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
gene_symbol,Usp37
