gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
pvalue,0.1856129
analysis_id,a44bjn87j5r3390
mouse_life_stage,Early adult
mouse_strain,C57BL
