parameter_name,Fat mass
analysis_id,62v0c51148020t4
gene_symbol,Golm2
gene_accession_id,MGI:2443129
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1485331
parameter_id,IMPC_DXA_002_001
