parameter_id,MGP_MLN_006_001
pvalue,0.6043142
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,t3zs74a2a0s9hx6
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
