analysis_id,00i50903qb4l529
mouse_life_stage,Early adult
pvalue,0.7866939
parameter_name,KLRG1+ mature NK cell percentage
gene_symbol,Tnfsf10
mouse_strain,C50BL
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:107414
