parameter_name,B1B Cells
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,IMPC_IMM_064_001
analysis_id,ljo905vzf5jnw6h
pvalue,0.4364605
mouse_life_stage,E18.5
gene_symbol,Zyg11b
