parameter_name,Prepulse inhibition - PP3
gene_symbol,Slc30a4
pvalue,0.1494407
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
analysis_id,79n39y0h9135u5g
