analysis_id,72z59p753270v99
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
pvalue,0.8416275
gene_symbol,Kdm4c
mouse_strain,C57BL
