parameter_name,Body Length
analysis_id,290ff91f5592117
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_id,M-G-P_005_001_006
pvalue,0.3896594
mouse_life_stage,E9.5
mouse_strain,C57BL
