parameter_name,Follicular B Cells (CD21/35+)
analysis_id,5j580emsm8ivnsm
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
gene_symbol,Rnf114
pvalue,0.08914632
mouse_strain,C57BL
