parameter_name,HR
gene_symbol,Zmynd8
pvalue,0.2849636
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
analysis_id,wl52gw26or8t8i4
