parameter_id,ICS_FEA_019_001
gene_symbol,Bpifa3
mouse_strain,129SV
gene_accession_id,MGI:1920638
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
analysis_id,10618935k62t8gz
pvalue,0.6727203
