parameter_name,Center distance travelled
gene_symbol,Alkbh3
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
analysis_id,k288bbffesrc7la
mouse_strain,C57BL
pvalue,0.1142617
