analysis_id,7g4t6i870oy3sg1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ufc1
gene_accession_id,MGI:1913405
pvalue,0.3596692
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
