parameter_id,IMPC_GRS_011_001
mouse_life_stage,Late adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Tbl1xr1
pvalue,0.4715752
mouse_strain,C57BL
analysis_id,prv52y55qg14kj3
gene_accession_id,MGI:2441730
