gene_symbol,Mgst2
mouse_life_stage,Early adult
analysis_id,17lo26za4789rui
parameter_name,Lean mass
mouse_strain,C57BL
pvalue,0.3258132
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:2448481
