analysis_id,y4lex282782ch99
gene_accession_id,MGI:1341628
parameter_id,IMPC_GEP_017_001
pvalue,0.7948838
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Facial Morphology
gene_symbol,Atrn
