parameter_name,NK cell number
parameter_id,MGP_PBI_027_001
analysis_id,wagwnb4m5c97p0f
pvalue,0.5161047
gene_accession_id,MGI:1923029
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dnaaf9
