parameter_name,Skull shape
gene_accession_id,MGI:1920638
analysis_id,m60l86fzz708968
gene_symbol,Bpifa3
parameter_id,IMPC_XRY_001_001
mouse_life_stage,Early adult
pvalue,0.8719348
mouse_strain,129SV
