parameter_name,Periphery distance travelled
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
gene_symbol,Mapkap1
analysis_id,o6r170q788a7biy
mouse_strain,C57BL
pvalue,0.1778659
parameter_id,ESLIM_007_001_006
