analysis_id,6ii679tgl2a5y6h
parameter_name,Percentage center time
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
pvalue,5.646023e-05
