gene_symbol,Ddx27
analysis_id,1xm44191s02909f
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
mouse_strain,129SV
pvalue,0.2471772
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
