parameter_name,Percent time in dark
pvalue,0.2338586
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
parameter_id,JAX_LDT_008_001
analysis_id,w295hjg776k45jk
