analysis_id,n47oijlx97z6ls2
gene_symbol,Trp53i11
pvalue,0.3519247
mouse_strain,C57BL
gene_accession_id,MGI:2670995
parameter_id,IMPC_XRY_024_001
parameter_name,Femur
mouse_life_stage,Early adult
