parameter_name,Activity (body position)
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Middle aged adult
pvalue,0.9761689
gene_accession_id,MGI:2140475
analysis_id,pll6a27y6sg9f53
gene_symbol,AU040320
