gene_symbol,Ntmt2
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
analysis_id,ihc5m2t4q34q8ap
pvalue,0.3520139
parameter_id,MGP_IMM_100_001
mouse_strain,C57BL
parameter_name,Resting NK cells - % of CD45+
