gene_symbol,Gpbp1l1
pvalue,0.249446
mouse_life_stage,Early adult
parameter_name,Tremor
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_id,TCPLA_CSD_030_001
analysis_id,g796h4v97086783
