parameter_name,cDCs CD11b Type
analysis_id,2rj27740346x505
mouse_strain,C51BL
parameter_id,IMPC_IMM_073_001
gene_symbol,Inka2
pvalue,0.2145756
mouse_life_stage,Early adult
gene_accession_id,MGI:1923497
