analysis_id,jfr45755lqj2n62
gene_symbol,Sla2
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
pvalue,0.8755432
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
