parameter_name,Vibrissae - appearance
mouse_life_stage,Early adult
analysis_id,j6fp9oyi126e305
parameter_id,HMGULA_DYS_024_001
pvalue,0.378707
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_strain,C57BL
