analysis_id,6u791pn93s26782
gene_accession_id,MGI:1924360
parameter_name,HR
mouse_life_stage,Early adult
parameter_id,JAXLA_ECG_002_001
gene_symbol,Gpbp1l1
mouse_strain,C57BL
pvalue,0.4517421
