analysis_id,x4r6i8150o148ga
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_id,MGP_MLN_074_001
pvalue,0.610205
mouse_life_stage,Early adult
