analysis_id,6805lmw65sn73rp
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
gene_symbol,Cpa3
parameter_name,30kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.06015276
