analysis_id,waidq3rnc6jdbx0
mouse_life_stage,E9.5
parameter_name,Prepulse inhibition - PP2
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_id,ESLIM_011_001_702
pvalue,0.5315049
gene_symbol,Slc39a10
