gene_symbol,Gbp7
mouse_life_stage,Early adult
analysis_id,1t78qppnztk949m
mouse_strain,C57BL
parameter_id,IMPC_IMM_005_002
gene_accession_id,MGI:2444421
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
pvalue,0.4350553
