analysis_id,6ry41d2804u8o4n
mouse_strain,C57BL
gene_symbol,Dmap1
mouse_life_stage,Early adult
pvalue,0.08455588
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1913483
parameter_name,LVIDd
