parameter_name,Monocytes
gene_symbol,Mapkap1
parameter_id,IMPC_IMM_051_001
pvalue,0.1807176
mouse_life_stage,E12.5
analysis_id,vi566jpi929f1sw
mouse_strain,C57BL
gene_accession_id,MGI:2444554
