parameter_id,MGP_BMI_019_001
analysis_id,7ywz071r48ves67
pvalue,0.562483
gene_accession_id,MGI:1914515
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Slc39a10
mouse_strain,C57BL
