gene_symbol,Nucks1
mouse_strain,C57BL
analysis_id,rfmvr1205ozwhlo
parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1934811
pvalue,0.9750534
parameter_name,Hemorrhage
