parameter_name,Body weight
mouse_life_stage,Early adult
pvalue,0.2760764
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
gene_accession_id,MGI:1914515
analysis_id,y89b1p5iwee7omd
gene_symbol,Slc39a10
