analysis_id,g0t533t6flfv538
parameter_id,IMPC_IMM_034_001
parameter_name,CD8 CD44-CD62L+ T cells
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
gene_symbol,Abo
pvalue,0.6093705
mouse_strain,C57BL
