gene_symbol,Ahctf1
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,qpl48m23r7wb112
parameter_id,IMPC_GEL_027_001
parameter_name,Neural tube closure
pvalue,0.3635019
gene_accession_id,MGI:1915033
