analysis_id,yw66hh212209533
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
mouse_strain,C57BL
pvalue,0.6876935
gene_symbol,Sfpq
parameter_name,Contact righting
