analysis_id,i768lo531y37n63
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
gene_accession_id,MGI:1929242
parameter_name,Ly6Clow monocyte number
pvalue,0.1340651
mouse_life_stage,Early adult
gene_symbol,Ivd
