parameter_name,6kHz-evoked ABR Threshold
mouse_strain,C57BL
pvalue,0.5565625
analysis_id,fd9a9sv7u4g3358
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_id,IMPC_ABR_004_001
mouse_life_stage,Early adult
