analysis_id,8f5y7lw7ju69315
Parameter_name,Placenta Morphology
Mouse_strain,C57BL
Parameter_id,IMPC_GPO_002_001
Gene_accession_id,MGI:2673000
Gene_symbol,Trim46
Mouse_life_stage,Early adult
pvalue,0.4416809
