parameter_name,Vocalization
analysis_id,594kt8s148zwi40
gene_symbol,Bpifa3
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1920638
pvalue,0.5280666
