parameter_name,Heart looping
analysis_id,r9w6u0tl4h5y4sz
parameter_id,IMPC_GEL_057_001
pvalue,0.2709524
mouse_strain,C57BL
gene_symbol,Fgb
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
