gene_symbol,Ddx27
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
analysis_id,qfoz886920pi358
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
parameter_name,Retinal Blood Vessels
pvalue,0.8475462
