parameter_id,IMPC_FEA_106_001
gene_symbol,F2
pvalue,0.8305343
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_accession_id,MGI:88380
analysis_id,17994785j50f0cs
