analysis_id,3cw22iuk0p67qzm
mouse_life_stage,E12.5
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
gene_symbol,Tiprl
mouse_strain,C57BL
pvalue,0.06301092
gene_accession_id,MGI:1915087
