Analysis_id,238t4s5t3yq5zv7
mouse_strain,129SV
Mouse_life_stage,Early adult
Gene_symbol,Cntfr
Parameter_id,IMPC_ACS_006_001
Gene_accession_id,MGI:99605
Parameter_name,Response amplitude - S
pvalue,0.1932772
