analysis_id,45ett99f133ta64
mouse_strain,C57BL
parameter_id,ESLIM_007_001_015
pvalue,0.6657806
mouse_life_stage,Early adult
parameter_name,Number of centre entries
gene_symbol,Cntfr
gene_accession_id,MGI:99605
