analysis_id,m45qduk757985l5
mouse_strain,C57BL
gene_accession_id,MGI:1914583
pvalue,0.8848828
gene_symbol,Stk35
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
mouse_life_stage,Early adult
