gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_name,Total B cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.6663555
parameter_id,MGP_IMM_041_001
analysis_id,gu5d6xf688gu698
mouse_strain,C57BL
